Version,Title,MatchTitle,Difficulty,NormalType,NormalTier,HardType,HardTier,RankTier
26,THE DAY OF JUBILATIONS,,ANOTHER,지력,C,지력,B,
24,THE DEEP STRIKER,,LEGGENDARIA,지력,B,지력,B,
26,THE F∀UST,,ANOTHER,지력,A+,지력,A+,
31,The Last Apocalypse,,ANOTHER,지력,B,지력,B,
22,The Least 100sec,,ANOTHER,지력,D,지력,D,
19,The Limbo,,ANOTHER,지력,B+,지력,B,
30,The Limbo,,LEGGENDARIA,지력,S+,지력,S+,
31,The Onlyonez,,ANOTHER,지력,E,개인차,E,
28,THE PEERLESS UNDER HEAVEN,,ANOTHER,개인차,A+,개인차,S,
26,The Rebellion of Sequencer,,ANOTHER,지력,A,지력,A,
19,The Sampling Paradise,,ANOTHER,지력,D,지력,D,
20,Thor's Hammer,,ANOTHER,개인차,A+,개인차,S+,6
28,thunder HOUSE NATION Remix,,LEGGENDARIA,지력,C,지력,C,1
19,Thunderbolt,,ANOTHER,지력,D,지력,D,
33,THUNDERSTRIKE,,ANOTHER,지력,C,지력,C,
22,TIEFSEE,,ANOTHER,지력,D,지력,D,
28,Tiempo Loco,,ANOTHER,지력,A+,지력,A,
29,Time to Air,,LEGGENDARIA,개인차,S,개인차,S,
20,Timepiece phase II,,ANOTHER,지력,B,지력,B+,
20,Timepiece phase II (CN Ver.),,ANOTHER,개인차,S,개인차,S,6
27,TITANS RETURN,,LEGGENDARIA,개인차,A+,개인차,S,
19,Todestrieb,,ANOTHER,지력,E,지력,D,
24,TOGAKUSHI,,ANOTHER,개인차,C,개인차,C,
29,TOMAHAWK,,ANOTHER,개인차,A+,개인차,A+,5
22,TOXIC VIBRATION,,ANOTHER,지력,B+,지력,B+,3
27,TRANOID,,LEGGENDARIA,지력,S,지력,S,6
26,Trill auf G,,ANOTHER,지력,D,지력,B+,
29,Triple Cross,,ANOTHER,지력,B,지력,B,
23,Triple Counter,,ANOTHER,지력,A,지력,A,
27,TRIUMPH,,ANOTHER,지력,A,지력,A,3
15,TROOPERS,,ANOTHER,개인차,E,개인차,D,
20,True Blue,,ANOTHER,지력,D,지력,D,
26,Twelfth Style,,LEGGENDARIA,지력,B+,지력,B+,
32,u gotta beat,,ANOTHER,지력,B,지력,B,
32,Uaigh Gealaí,Uaigh Gealai,ANOTHER,지력,A,지력,A,
25,Übertreffen,Ubertreffen,LEGGENDARIA,지력,B,지력,B+,
29,Umbral,,LEGGENDARIA,지력,D,지력,C,
26,Unbelief,,ANOTHER,지력,B+,지력,A+,4
33,UNDO THE NIGHT,,ANOTHER,지력,B+,개인차,A,
33,Urban Constellations,,LEGGENDARIA,,,,,
5,V,,ANOTHER,지력,D,지력,D,
20,Valanga,,ANOTHER,지력,B,지력,B,
14,VANESSA,,ANOTHER,지력,E,지력,D,
24,VANESSA,,LEGGENDARIA,지력,A+,지력,S,6
24,Venom,,ANOTHER,지력,E,지력,E,
21,Verflucht,,ANOTHER,지력,A,지력,A+,4
22,Verflucht,,LEGGENDARIA,지력,S+,지력,S+,7
31,Vermilion Carol,,ANOTHER,지력,B,지력,B+,
27,Vinculum stellarum,,ANOTHER,지력,C,지력,C,
30,Violet Pulse,,LEGGENDARIA,지력,A,지력,A+,4
28,Viridian,,ANOTHER,지력,C,지력,C,
26,Visterhv,,ANOTHER,지력,B+,지력,B+,
28,Vitrum,,ANOTHER,지력,B,지력,B,
30,VØID,VOID,ANOTHER,지력,A+,개인차,S,
30,VOLAQUAS,,ANOTHER,지력,A,지력,A,4
26,voltississimo,,ANOTHER,지력,A+,지력,A+,5
21,VOX UP,,ANOTHER,개인차,B,개인차,A+,5
31,Vulnerability,,ANOTHER,지력,A+,지력,A+,
18,Watch Out Pt.2,,ANOTHER,개인차,B,개인차,A,3
25,waxing and wanding,,LEGGENDARIA,지력,A,지력,A,4
22,We're so Happy (P*Light Remix) IIDX ver.,,ANOTHER,지력,C,지력,B+,
26,Welcome,,LEGGENDARIA,지력,B,지력,B+,
32,Without Heaven,,ANOTHER,지력,B,지력,B+,
29,WHA,,ANOTHER,개인차,S,개인차,S,
19,WONDER WALKER,,ANOTHER,지력,C,지력,C,
23,X,,ANOTHER,지력,B,지력,B+,3
26,X-DEN,,ANOTHER,지력,S,지력,S+,
31,Xb10r,,ANOTHER,지력,B+,지력,B+,
30,Xerulean,,ANOTHER,지력,S,지력,S,
32,XHRONOXAPSULΞ,,ANOTHER,지력,S+,지력,S+,
26,Xlø,Xlo,ANOTHER,지력,B,지력,A,
25,Xperanza,,ANOTHER,지력,B,지력,B+,
25,Y&Co. is dead or alive,,ANOTHER,개인차,B,개인차,S,7
19,YAKSHA,,ANOTHER,지력,B+,지력,B+,
31,yellow head joe,,LEGGENDARIA,지력,B,지력,B,
28,Ypsilon,,LEGGENDARIA,지력,C,지력,D,
33,ZED,,LEGGENDARIA,개인차,A+,개인차,A+,
27,ZEPHYRANTHES,,LEGGENDARIA,지력,A,지력,A,
20,Zirkfied,,ANOTHER,개인차,A+,지력,A+,5
22,ZZ,,ANOTHER,지력,D,지력,D,
32,1116,,ANOTHER,지력,B,지력,B+,
23,199024club -Re:BounceKiller-,,ANOTHER,개인차,B+,개인차,A,
33,2 Be Continued,,ANOTHER,지력,B+,지력,B+,
29,2 Beasts Unchained,,ANOTHER,개인차,A,지력,A,
30,24h Endurance Race,,ANOTHER,지력,B,개인차,B+,
25,255,,ANOTHER,지력,A,개인차,A+,
16,3y3s,,ANOTHER,개인차,A,지력,S+,6
30,[ ]DENTITY,,ANOTHER,지력,A+,지력,A+,
23,紫陽花 -AZISAI-,,ANOTHER,지력,D,지력,D,
31,紫陽花 -AZISAI-,,LEGGENDARIA,지력,A,개인차,S,
20,アストライアの双皿,,ANOTHER,개인차,B,개인차,B,
29,天邪鬼,,ANOTHER,지력,D,지력,C,1
32,アラビアン ハイパー ナイト,,ANOTHER,지력,B,지력,B+,
32,uәn,uen,ANOTHER,지력,A,지력,A,
33,ιgniЯRuina,,ANOTHER,지력,A+,지력,A+,
24,イザナミノナゲキ,,ANOTHER,지력,C,지력,C,
33,色を喪った街,,ANOTHER,지력,A+,지력,S,
30,栄冠のカンパネラ,,ANOTHER,지력,S,지력,S,6
30,ÆTHER,ATHER,LEGGENDARIA,지력,D,개인차,C,
23,駅猫のワルツ,,ANOTHER,지력,S,지력,S,
20,ΕΛΠΙΣ,,ANOTHER,지력,E,지력,E,
28,ΕΛΠΙΣ,,LEGGENDARIA,지력,B,지력,B+,
24,焔極OVERKILL,,ANOTHER,지력,S,지력,S,
30,Ōu Legends,Ou Legends,ANOTHER,지력,C,지력,C,
26,お菓子の王国,,ANOTHER,지력,A,지력,A+,5
28,お米の美味しい炊き方、そしてお米を食べることによるその効果。,,LEGGENDARIA,지력,S,지력,S,5
20,音楽,,ANOTHER,개인차,A,개인차,A+,5
32,蛇神,,LEGGENDARIA,개인차,A+,지력,S,
13,カゴノトリ～弐式～,,ANOTHER,지력,D,지력,E,
32,カジノファイヤーことみちゃん,,LEGGENDARIA,개인차,A,지력,S,
24,仮想空間の旅人たち,,LEGGENDARIA,지력,A,지력,B+,
31,華蝶風雪,,LEGGENDARIA,지력,D,지력,D,
27,がっつり陰キャ!? 怪盗いいんちょの億劫^^;,,ANOTHER,지력,A+,지력,A+,
32,神っぽいな,,LEGGENDARIA,지력,C,지력,B,
30,神のシナリオ,,ANOTHER,지력,D,개인차,C,
30,#CMFLG,,ANOTHER,지력,D,지력,C,
27,華麗なる大犬円舞曲,,ANOTHER,지력,A,지력,A,
33,かわいいだけじゃだめですか？,,LEGGENDARIA,,,,,
29,君のハートにロックオン,,LEGGENDARIA,지력,A,지력,A+,4
20,キャトられ♥恋はモ～モク,キャトられ恋はモ～モク,ANOTHER,지력,B+,지력,A,
24,九尾狐夜行,,ANOTHER,지력,D,지력,D,
22,共鳴遊戯の華,,ANOTHER,지력,S,지력,S,
28,閠槞彁の願い,,ANOTHER,지력,A,지력,A,
32,グッバイ宣言,,LEGGENDARIA,지력,D,지력,D,
33,クレッシェンド,,ANOTHER,지력,C,지력,A,
20,狂イ咲ケ焔ノ華,,ANOTHER,지력,D,지력,C,1
18,黒髪乱れし修羅となりて,,ANOTHER,지력,E,지력,E,
19,恋する☆宇宙戦争っ！！,,ANOTHER,지력,D,지력,C,
31,恋する☆宇宙戦争っ！！,,LEGGENDARIA,지력,A+,지력,A+,
19,子供の落書き帳,,ANOTHER,지력,C,지력,B+,
31,今宵、ロマンス横丁。,,ANOTHER,지력,B+,지력,A,
26,金野火織の金色提言,,ANOTHER,지력,A,지력,A+,4
26,最小三倍完全数,,ANOTHER,지력,D,지력,C,
29,逆月,,ANOTHER,개인차,B,지력,B+,3
8,桜,,ANOTHER,개인차,D,개인차,C,
33,サタデーナイト☆ギャロップ,,ANOTHER,,,,,
32,#The_Relentless,,LEGGENDARIA,지력,S,지력,S,
33,≡+≡,,LEGGENDARIA,지력,S,지력,S,
31,残像ニ繋ガレタ追憶ノHIDEAWAY,,ANOTHER,지력,F,지력,F,
21,疾風迅雷,,ANOTHER,지력,C,지력,B,
22,疾風迅雷,,LEGGENDARIA,지력,S+,지력,S+,
25,シムルグの目醒め,,ANOTHER,지력,A+,지력,A+,5
24,〆,,ANOTHER,지력,D,지력,C,
32,灼熱 Lost Summer Dayz,,ANOTHER,지력,E,개인차,B+,
23,灼熱 Pt.2 Long Train Running,,ANOTHER,개인차,S+,개인차,S+,7
18,灼熱Beach Side Bunny,,ANOTHER,개인차,S+,개인차,S+,
31,灼熱Beach Side Bunny (かめりあ's ”Summertime D'n'B” Remix),灼熱Beach Side Bunny (かめりあ's "Summertime D'n'B" Remix),ANOTHER,개인차,B+,개인차,A,
31,終焔のClaudia,,ANOTHER,지력,D,지력,D,
20,シュレーディンガーの猫,,ANOTHER,지력,C,지력,C,
15,少年A,,ANOTHER,지력,E,지력,D,
22,少年は空を辿る,,ANOTHER,지력,B,지력,B+,
27,深淵に捧ぐレクイエム,,ANOTHER,지력,C,지력,B,
25,神謳 -RESONANCE-,,ANOTHER,지력,B,지력,B,
23,真 地獄超特急 -HELL or HELL-,,ANOTHER,개인차,A+,개인차,A+,
28,新宝島,,LEGGENDARIA,지력,C,지력,C,
28,水鏡の異界,,ANOTHER,개인차,B+,개인차,A,
28,スーパー戦湯ババンバーン,,ANOTHER,개인차,C,지력,C,
32,スキッテイエェエエェ!!!!,,ANOTHER,지력,A+,지력,S,
32,スパークリング☆彡ハイパーチューン！！,,ANOTHER,지력,F,지력,F,
19,聖人の塔,,ANOTHER,지력,D,지력,B+,
32,聖人の塔,,LEGGENDARIA,지력,S+,지력,S+,
28,世界の果てに約束の凱歌を -ReUnion-,,ANOTHER,지력,A,지력,A,
10,雪月花,,ANOTHER,개인차,E,개인차,E,
29,雪上断火,,ANOTHER,개인차,B,개인차,B+,
22,千年ノ理,,ANOTHER,지력,E,지력,F,
27,千年ノ理,,LEGGENDARIA,지력,S,지력,A+,
21,旋律のドグマ～Misérables～,旋律のドグマ～Miserables～,ANOTHER,지력,C,지력,C,
30,ぞうしょく！？マイデンティティ,,ANOTHER,지력,B+,지력,B+,3
20,即席！脳直★ミュージックシステム,,ANOTHER,지력,D,지력,C,1
22,それは花火のような恋,,ANOTHER,지력,C,지력,B,
28,∀,,ANOTHER,지력,A+,지력,A+,
26,抱きしめてモナムール,,ANOTHER,지력,B+,지력,B+,
20,たまゆら,,ANOTHER,지력,B,지력,B,2
33,断罪のミメシス,,ANOTHER,,,,,
33,ちょえちょえまぎか,,LEGGENDARIA,지력,B+,지력,B+,
22,超青少年ノ為ノ超多幸ナ超古典的超舞曲,,LEGGENDARIA,지력,A+,지력,A+,4
24,津軽雪,,ANOTHER,지력,B+,지력,A,3
28,ディスコルディア,,ANOTHER,개인차,S,지력,S+,7
19,天空の夜明け,,ANOTHER,지력,A,지력,A+,
31,電光,,ANOTHER,지력,C,지력,C,
32,天使のカンタータ -Cantata of Angels-,,ANOTHER,지력,S,지력,S,
14,電人、暁に斃れる。,,ANOTHER,지력,D,지력,C,
31,電腦都市,,ANOTHER,지력,B,지력,B+,
25,東京神話,,ANOTHER,지력,B+,지력,A+,4
24,童話回廊,,ANOTHER,지력,B,지력,C,1
21,轟け！恋のビーンボール！！,,ANOTHER,지력,B,지력,B+,
20,トリカゴノ鳳凰,,ANOTHER,지력,C,지력,C,
21,IX,,ANOTHER,지력,S,지력,S,6
20,†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),,ANOTHER,지력,B+,지력,B+,3
13,嘆きの樹,,ANOTHER,지력,S,지력,S,5
22,夏色DIARY - L.E.D.-G STYLE MIX -,,ANOTHER,지력,C,지력,C,2
24,廿,,LEGGENDARIA,지력,B,개인차,B+,
33,寝起きヤシの木,,LEGGENDARIA,,,,,
30,ハイテックトキオ,,LEGGENDARIA,개인차,C,개인차,B,1
30,儚キ戀ノ幻想譚,,ANOTHER,지력,B,지력,B,
28,伐折羅-vajra-,,ANOTHER,지력,A,지력,A,
24,刃図羅,,ANOTHER,지력,D,지력,D,
28,バッド・スイーツ、バッド・ドリーム,,ANOTHER,개인차,A,개인차,A+,
29,華爛漫 -Flowers-,,LEGGENDARIA,지력,C,지력,C,1
11,ピアノ協奏曲第１番”蠍火”,,ANOTHER,개인차,A,개인차,A,4
27,ピアノ協奏曲第1番”蠍火” (BlackY Remix),,ANOTHER,지력,A,지력,A,3
29,ピアノ独奏無言歌 ”灰燼”,ピアノ独奏無言歌 "灰燼",ANOTHER,개인차,A+,개인차,S,
24,焱影,火影,ANOTHER,개인차,B,개인차,B+,
33,ビビッド ☆+*。キラキライム,,ANOTHER,지력,C,지력,B,
16,卑弥呼,,ANOTHER,지력,S+,지력,S+,7
22,表裏一体!?怪盗いいんちょの悩み♥,表裏一体！？怪盗いいんちょの悩み,ANOTHER,지력,D,지력,C,
31,表裏一体!?怪盗いいんちょの悩み♥,表裏一体！？怪盗いいんちょの悩み,LEGGENDARIA,지력,S,지력,S,5
31,フォニイ,,LEGGENDARIA,지력,E,지력,D,
28,二人ノ廃城幽踊宴,,ANOTHER,지력,A,지력,A+,
16,不沈艦CANDY,,ANOTHER,지력,B,지력,B,2
33,⁽⁽ଘ( ˙꒳˙ )ଓ⁾⁾ beyond reason,,ANOTHER,지력,A+,지력,A+,
31,《PL|RAYER》,,ANOTHER,지력,E,지력,E,
22,紅牡丹,,ANOTHER,지력,E,지력,E,
33,ベンガル vs. アムール Battle,,ANOTHER,지력,D,지력,D,
29,烽火連天の刃,,ANOTHER,지력,A,개인차,A,
32,烽火連天の刃,,LEGGENDARIA,개인차,S,지력,S+,
28,-65℃,,ANOTHER,지력,A+,지력,A+,
24,#MAGiCVLGiRL_TRVP_B3VTZ,,ANOTHER,지력,B,지력,B,
31,摩天楼,,ANOTHER,개인차,B,개인차,B,
28,魔法のかくれんぼ,,ANOTHER,개인차,D,개인차,B,
31,未完成ノ蒸氣驅動乙女,,ANOTHER,지력,B,지력,B+,
29,禊,,ANOTHER,지력,C,지력,C,
33,ミュージック・アワー,,LEGGENDARIA,지력,B+,지력,A,
30,ミラージュ・レジデンス,,LEGGENDARIA,개인차,B,개인차,B+,3
27,魅惑のYUMMYスイーツ,,ANOTHER,지력,B,지력,B+,3
12,冥,,ANOTHER,지력,A,지력,S+,
23,めいさいアイドル☆あいむちゃん♪,,ANOTHER,지력,C,지력,C,
33,ラブコメトキドキシリアス,,ANOTHER,지력,B,지력,B,
30,龍王の霊廟(Mausoleum Of The Primal Dragon),,LEGGENDARIA,지력,C,지력,C,
25,龍と少女とデコヒーレンス,,LEGGENDARIA,지력,B,지력,B,
22,リリーゼと炎龍レーヴァテイン,,ANOTHER,지력,B,지력,B,
30,恋愛＝精度×認識力,,ANOTHER,지력,B,개인차,A+,7
21,煉獄のエルフェリア,,ANOTHER,지력,A+,지력,S,5
31,惑星鉄道,,ANOTHER,지력,S+,지력,S+,7
21,海神,,ANOTHER,개인차,C,개인차,C,
31,海神,,LEGGENDARIA,지력,B+,개인차,A,
17,ワルツ第17番 ト短調”大犬のワルツ”,,ANOTHER,개인차,D,개인차,B,
